ceo_names,ceo_names,ceo_pctApprove,ceo_pctDisapprove,company_name,compensation_rating,culture_rating,overallRating,ratingDescription,recommendToFriendRating,seniorLeadershipRating,workLifeBalanceRating,Growth,Annual Rainfall,Annual Snowfall,Avg_Commute_work,HQ_City,HQ_State,population,crime_rate_per_1000,diversity
Scott O'Brien,Scott O'Brien,38,62,Safariland,3,2.8,2.7,OK,44,2.1,2.6,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Scott Miller,Scott Miller,80,20,Interstate Batteries,3.2,3.4,3.3,OK,53,2.6,3.4,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Scott M. Prochazka,Scott M. Prochazka,97,3,CenterPoint Energy,4.1,4.1,4,Satisfied,88,3.6,4,0.2169,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Scott D. Farmer,Scott D. Farmer,76,24,Cintas,3.5,3.3,3.2,OK,57,3,3,0.1763,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Scott Cawood,Scott Cawood,50,50,Synygy,2.7,3.1,2.8,OK,45,2.4,2.9,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Satya Nadella,Satya Nadella,96,4,Microsoft,4.1,3.9,4,Satisfied,84,3.5,3.8,14.56,38.4,5,,Redmond,Washington,61893,64.95470613,#N/A
Sarah Myland,Sarah Myland,68,32,Other,3.6,3.5,3.5,Satisfied,79,3.7,3.6,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Sara Blakely,Sara Blakely,100,0,Spanx,3.2,3.3,3,OK,49,2.7,3,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Santa Jeremy Ono,Santa Jeremy Ono,88,12,University of Cincinnati,3.5,3.9,4,Satisfied,78,3.5,3.9,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Sandra B. Cochran,Sandra B. Cochran,79,21,Cracker Barrel,3.2,3.6,3.4,OK,60,3,3.2,,54.2,6.3,15,Lebanon,Tennessee,31125,69.91035628,#N/A
Sam Zaid,Sam Zaid,73,27,Getaround,3.4,3.8,4,Satisfied,75,3.2,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Sam Houser,Sam Houser,80,20,Rockstar Games,3.6,3.7,4.1,Very Satisfied,74,3.2,3.2,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Sam Goldstein,Sam Goldstein,96,4,B&H Photo Video,4.5,4.2,4.5,Very Satisfied,95,3.9,4.2,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Sam Borgese,Sam Borgese,45,55,Logan's Roadhouse,2.7,3.2,3.2,OK,48,2.8,3.1,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Sally J. Smith,Sally J. Smith,72,28,Buffalo Wild Wings,2.6,3.2,3.2,OK,58,2.8,3,,27.3,54,26.4,Golden Valley,Minnesota,21454,40.62302734,#N/A
Safra A. Catz & Mark Hurd,Safra A. Catz & Mark Hurd,65,35,Oracle,3.2,3.1,3.4,OK,61,2.9,3.8,7.15,22.2,0,,Redwood Shores,California,#N/A,#N/A,#N/A
Sachin Lawande,Sachin Lawande,50,50,Visteon,3.3,3,2.9,OK,49,2.5,3.3,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Ryan M. Lance,Ryan M. Lance,63,37,ConocoPhillips,4.3,3.7,3.7,Satisfied,71,3.1,3.9,0.0764,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Ryan Gumm,Ryan Gumm,84,16,Endeavor Air,2.8,3.5,3.5,Satisfied,71,3.3,3,,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Russell P. (Russ) Fradin,Russell P. (Russ) Fradin,76,24,SunGard,3.3,3.3,3.4,OK,70,2.9,3.7,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Russ Umphenour Jr.,Russ Umphenour Jr.,62,38,FOCUS Brands,3.2,3.1,2.5,OK,41,2.6,3.6,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Rupert Duchesne,Rupert Duchesne,48,52,Aimia,3.2,2.9,3,OK,41,2.5,3.5,,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Rudy Karsan Sr.,Rudy Karsan Sr.,68,32,Kenexa,2.8,3.2,3.1,OK,45,2.7,3.3,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Roy Harvey,Roy Harvey,45,55,Alcoa,3.8,3.1,3.2,OK,49,2.7,2.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Ronald Shaich,Ronald Shaich,79,21,Panera Bread,2.8,3.5,3.3,OK,56,2.9,3.1,,42.2,17,,St. Louis,Missouri,314507,138.2477352,64.22
Ronald A. Rittenmeyer,Ronald A. Rittenmeyer,0,100,Tenet Healthcare,3.3,2.9,3.1,OK,55,2.7,3.1,,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Ron Voigt,Ron Voigt,84,16,X-Rite,3.3,3,3,OK,49,2.6,3.1,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Ron Perelman,Ron Perelman,45,55,MacAndrews & Forbes,4.1,3.1,3.5,Satisfied,69,3.1,3.6,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Ron Konezny,Ron Konezny,40,60,Digi International,3,2.6,2.6,OK,34,2.2,3.6,,27.3,54,21.1,Minnetonka,Minnesota,52055,30.691766,#N/A
Ron Foster Jr.,Ron Foster Jr.,72,28,Stellar Group,3.3,3.1,3.2,OK,54,3,3.1,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Roger S. Penske,Roger S. Penske,93,7,Penske Automotive Group,3.4,3.7,3.5,Satisfied,65,3.5,3.2,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Rodney O. Martin Jr.,Rodney O. Martin Jr.,50,50,Voya Financial,3.4,3.1,2.9,OK,42,2.5,3.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Rodney McMullen,Rodney McMullen,63,37,Kroger,3,3.1,3.2,OK,50,2.8,2.9,-0.387,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Roderick A. Larson,Roderick A. Larson,78,22,Oceaneering International,3.2,3,3.2,OK,48,2.6,3.1,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Robin Bordoli,Robin Bordoli,94,6,CrowdFlower,3.9,3.7,4.1,Very Satisfied,76,3.8,4.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Robert Whelan,Robert Whelan,77,23,Pearson VUE,3.2,3.5,3.3,OK,62,3.1,3.6,,27.3,54,21,Bloomington,Minnesota,87134,67.31655917,66.06
Robert W. Lewey,Robert W. Lewey,3,97,Integrated Electrical Services,2.7,2.3,2.2,Dissatisfied,19,2.2,2.4,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Robert K. Steel,Robert K. Steel,76,24,Perella Weinberg Partners,4.3,3.5,3.6,Satisfied,73,3.5,3.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Robert J. Riesbeck,Robert J. Riesbeck,28,72,hhgregg,2.8,2.8,2.9,OK,32,2.6,2.7,,41.7,25.9,,Indianapolis,Indiana,866351,109.7827372,64.92
Robert E. Sulentic,Robert E. Sulentic,91,9,CBRE,3.3,3.7,3.7,Satisfied,73,3.4,3.6,6.13,22.2,0,,Los Angeles,California,4007905,56.6836933,70.84
Robert E. Moritz,Robert E. Moritz,85,15,PwC,3.3,3.7,3.8,Satisfied,77,3.4,2.8,,41.8,123.8,,New York City,New York,#N/A,#N/A,#N/A
Robert Drummond,Robert Drummond,61,39,Key Energy Services,2.8,2.9,2.9,OK,47,2.4,3.1,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Robert D. Marcus,Robert D. Marcus,54,46,Time Warner,3.8,3.2,3.4,OK,63,2.8,3.1,0.2095,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Robert D. Lawler,Robert D. Lawler,84,16,Chesapeake Energy,4.4,3.3,3.7,Satisfied,69,3.1,3.9,-0.2126,36.5,7.8,13.2,Oklahoma City,Oklahoma,641681,86.00019059,65.01
Robert D. Hays Jr.,Robert D. Hays Jr.,99,1,King & Spalding,3.8,3.9,4.1,Very Satisfied,80,4.1,3.3,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Robert D. (Bob) Hansen,Robert D. (Bob) Hansen,57,43,Dow Corning,3.7,3.5,3.5,Satisfied,65,2.8,3.9,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Robert C. Flexon,Robert C. Flexon,81,19,Dynegy,3.8,3.7,3.5,Satisfied,59,3.6,3.4,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Robert C. Dart,Robert C. Dart,68,32,Dart Container,3.1,3.1,3.1,OK,56,2.5,2.9,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Robert Bernstein,Robert Bernstein,58,42,Bernstein-Rein,2.1,3,2.6,OK,27,2.3,2.9,,42.2,17,0,Kansas City,Missouri,478364,103.9359789,65.35
Robert Bakish,Robert Bakish,88,12,Viacom,3.3,3.8,3.5,Satisfied,70,3.3,3.8,-0.3995,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Robert A. Shama,Robert A. Shama,0,100,Afton Chemical,3.6,3.2,3.2,OK,58,2.5,3.6,,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
Robert A. Funk,Robert A. Funk,75,25,Express Employment Professionals,2.8,3.2,3.4,OK,62,3.1,3.2,,36.5,7.8,,Oklahoma City,Oklahoma,641681,86.00019059,65.01
Robert A. Bradway,Robert A. Bradway,74,26,Amgen,4.1,3.5,3.7,Satisfied,71,3.2,3.6,-3.59,22.2,0,,Thousand Oaks,California,129853,27.45022262,#N/A
Robert (Bob) Greenblatt,Robert (Bob) Greenblatt,98,2,NBC,3.1,3.2,3.6,Satisfied,65,3,3.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Rob Speyer,Rob Speyer,100,0,Tishman Speyer,3.7,3.1,3.5,Satisfied,72,2.8,3.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Rob Slimp,Rob Slimp,75,25,HNTB,3.7,3.2,3.2,OK,48,2.7,3.1,,42.2,17,0,Kansas City,Missouri,478364,103.9359789,65.35
Rob Roy,Rob Roy,84,16,Switch,4,3.9,3.8,Satisfied,72,3.6,3.6,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Rob Manfred,Rob Manfred,100,0,Major League Baseball,3.8,4.2,4,Satisfied,81,4,4.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Rob Kittredge,Rob Kittredge,84,16,Fabri-Kal,3.8,3.1,3.2,OK,61,2.8,2.7,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Rob Honeycutt,Rob Honeycutt,55,45,Timbuk2,2.8,3.9,3.2,OK,52,2.6,4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Rob Frohwein,Rob Frohwein,96,4,Kabbage,4.4,4.7,4.7,Very Satisfied,89,4.6,4.5,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Rick Smith,Rick Smith,62,38,Dairy Farmers of America,3.1,3.1,3.1,OK,52,2.7,2.8,,42.2,17,0,Kansas City,Missouri,478364,103.9359789,65.35
Rick Haviland,Rick Haviland,61,39,MarketSource,2.5,3,3,OK,51,2.8,3.3,,50.7,0.7,,Alpharette,Georgia,#N/A,#N/A,#N/A
Richard Ward,Richard Ward,95,5,22squared,2.8,4.2,3.8,Satisfied,74,3.1,3.8,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Richard W. (Rick) Davidson,Richard W. (Rick) Davidson,96,4,Century 21,3.3,4.2,4.1,Very Satisfied,80,3.9,3.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Richard Thornberry,Richard Thornberry,0,0,Radian Group,3.8,3.8,3.7,Satisfied,78,3.4,3.8,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Richard Romero,Richard Romero,36,64,Seattle Metropolitan Credit Union,2.8,2.4,2.3,Dissatisfied,27,2,2.5,,38.4,5,20.1,Seattle,Washington,700313,116.0652774,65.65
Richard R. Hays,Richard R. Hays,94,6,Alston & Bird,3.9,4.1,4,Satisfied,78,3.5,4,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Richard Plepler,Richard Plepler,80,20,HBO,3.7,3.6,3.7,Satisfied,68,3.3,4,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Richard Leach,Richard Leach,26,74,Compass Airlines,2.2,2.5,2.8,OK,36,2.3,2.3,,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Richard Keyes,Richard Keyes,76,24,Meijer,2.9,3.1,3.1,OK,50,2.7,3,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Richard K. Smucker,Richard K. Smucker,41,59,Big Heart Pet Brands,3.8,3.1,3.4,OK,57,3,3.4,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Richard K. Davis,Richard K. Davis,92,8,U.S. Bank,3.1,3.7,3.4,OK,64,3.2,3.4,,27.3,54,,MallMinneapolis,Minnesota,#N/A,#N/A,#N/A
Richard J. Dugas Jr.,Richard J. Dugas Jr.,66,34,Pulte Homes,3.3,3.3,3.4,OK,59,2.9,3.1,0.1486,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Richard J. Campo,Richard J. Campo,96,4,Camden Property Trust,3.8,4.1,3.7,Satisfied,68,3.8,3.5,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Richard D. Fairbank,Richard D. Fairbank,94,6,Capital One,4,4,3.9,Satisfied,78,3.4,4,0.1787,44.3,10.3,12.7,McLean,Virginia,#N/A,#N/A,#N/A
Richard Brasch,Richard Brasch,83,17,Mellow Mushroom,2.5,3.7,3.5,Satisfied,69,2.9,3.4,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Richard Baker,Richard Baker,45,55,Saks Fifth Avenue,2.8,2.4,2.8,OK,40,2.4,2.7,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Richard A. Johnson,Richard A. Johnson,80,20,Foot Locker,3,3.5,3.4,OK,64,3,3.1,-0.2402,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Richard A. Hayne,Richard A. Hayne,50,50,Urban Outfitters,2.8,3.5,3.3,OK,58,2.8,3.2,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Richard A. Gephardt,Richard A. Gephardt,64,36,The Scripps Research Institute,3.3,3.5,3.9,Satisfied,84,3.2,3.2,,22.2,0,21,San Diego,California,1413414,44.30976925,70.2
Rich Templeton,Rich Templeton,94,6,Texas Instruments,3.9,4.1,3.9,Satisfied,81,3.5,3.7,0.1366,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Rich Battista,Rich Battista,17,83,Time Inc.,3.3,3.1,3.1,OK,48,2.5,3.6,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Rev Michael J. Graham,Rev Michael J. Graham,96,4,Xavier University,3.2,4,3.9,Satisfied,82,3.3,4,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Raymond Svider,Raymond Svider,39,61,PetSmart,2.8,3.1,3.1,OK,49,2.6,3,,13.6,0.3,25,Phoenix,Arizona,1586611,80.60658567,68.07
Raymond R. Quirk,Raymond R. Quirk,68,32,Fidelity National Financial,3.1,2.7,3,OK,46,2.6,3,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Ray Schiavone,Ray Schiavone,86,14,Quark,3.6,3.9,3.9,Satisfied,84,3.6,4,,15.9,19.1,28.8,Denver,Colorado,699259,78.48871641,69.21
Ray McDaniel Jr.,Ray McDaniel Jr.,83,17,Moody's,3,3.5,3.5,Satisfied,68,3.1,3.8,0.1902,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Randall L. Stephenson,Randall L. Stephenson,69,31,AT&T,3.8,3.3,3.5,Satisfied,62,2.9,3,-0.136,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Randall L. Stephenson,Randall L. Stephenson,69,31,AT&T,3.8,3.3,3.5,Satisfied,62,2.9,3,-0.136,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Randall J. Hogan,Randall J. Hogan,51,49,Pentair,3.1,2.8,2.9,OK,41,2.4,3,-0.0659,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Randal Ringhaver,Randal Ringhaver,81,19,Ring Power,3.9,3.3,3.4,OK,53,3.3,3.5,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Randal A. Nardone,Randal A. Nardone,92,8,Fortress Investment Group,3.8,2.8,3.5,Satisfied,67,3.2,2.8,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Rami Rahim,Rami Rahim,91,9,Juniper Networks,4,3.8,3.7,Satisfied,73,3.3,3.8,4.14,22.2,0,,sunnyvale,California,154108,28.99150752,#N/A
Ralph W. Babb Jr.,Ralph W. Babb Jr.,42,58,Comerica,3.2,3,3,OK,48,2.5,3.4,0.3564,28.9,1.5,24.7,Dallas,Texas,1320939,75.68422564,71.25
Ralph L. Schlosstein,Ralph L. Schlosstein,100,0,Evercore Partners,4.3,4.4,4.3,Very Satisfied,90,4.2,3.3,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Raj Gupta,Raj Gupta,85,15,Rohm and Haas,3.9,4.1,4.1,Very Satisfied,86,3.8,3.9,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
R. P. Sowers M.D.,R. P. Sowers M.D.,70,30,Patient First,3.2,3.3,3.3,OK,64,2.8,3.2,,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
R. Milton Johnson,R. Milton Johnson,77,23,Hospital Corporation of America,3.3,3.4,3.4,OK,66,3.1,3.3,,15.9,19.1,28.8,Denver,Colorado,699259,78.48871641,69.21
R. Brian Hanson,R. Brian Hanson,14,86,ION Geophysical,3.2,2.5,2.5,OK,27,2,3.1,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Prashant Ranade,Prashant Ranade,64,36,Syntel,2.3,2.7,2.8,OK,45,2.2,2.8,,32.8,51.1,21.3,Lansing,Michigan,115199,70.07011908,63.26
Pradeep K. Khosla,Pradeep K. Khosla,80,20,UC San Diego,3.6,3.9,4.2,Very Satisfied,89,3.5,4,,22.2,0,,La Jolla,California,#N/A,#N/A,#N/A
Pierre-Andrթ de Chalendar,Pierre-Andrթ de Chalendar,89,11,Saint-Gobain,3.4,3.8,3.6,Satisfied,76,3.3,3.6,,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Pierre Nanterme,Pierre Nanterme,95,5,Accenture,3.4,3.8,3.8,Satisfied,82,3.2,3.3,0.1183,44.3,10.3,29.1,Arlington,Virginia,#N/A,#N/A,64.25
Pierre Brondeau,Pierre Brondeau,47,53,FMC,3.4,2.9,3,OK,54,2.7,3.3,0.424,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Philip M. (Phil) Greifeld,Philip M. (Phil) Greifeld,66,34,Captain D's,2.3,3.1,3,OK,53,2.7,2.5,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Philip D. Hess,Philip D. Hess,68,32,Philhaven,2.4,2.8,2.9,OK,34,2.4,2.5,,42.9,28.2,13.5,Harrisburg,Pennsylvania,48996,67.07182469,66.4
Peter Leav,Peter Leav,85,15,BMC Software,3.7,3.5,3.6,Satisfied,68,3.2,3.6,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Peter J. Davoren,Peter J. Davoren,98,2,Turner Construction,4,4.3,4.2,Very Satisfied,90,4,3.6,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Peter Harrison,Peter Harrison,68,32,Snagajob,3.6,3.8,3.3,OK,54,2.8,3.9,,44.3,10.3,24.6,Richmond,Virginia,#N/A,#N/A,68.57
Peter Cohen,Peter Cohen,48,52,University of Phoenix,3.4,2.8,3,OK,33,2.4,3.4,,13.6,0.3,,Phoenix,Arizona,1586611,80.60658567,68.07
Peter Bauer,Peter Bauer,94,6,Mimecast,3.9,4.4,4.3,Very Satisfied,90,4.2,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Peter Arvai,Peter Arvai,87,13,Prezi,3.6,4,3.9,Satisfied,80,3.5,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Peter Altabef,Peter Altabef,60,40,Unisys,2.9,2.9,3,OK,49,2.6,3.3,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Peter Agnefjall,Peter Agnefjall,71,29,IKEA,3.8,4,3.6,Satisfied,72,3.2,3.4,,50.3,7.6,,winston-salem,North Carolina,#N/A,#N/A,67.07
Peter Acworth,Peter Acworth,8,92,Kink.com,3,2.3,2.2,Dissatisfied,22,1.6,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Peter A. Cohen,Peter A. Cohen,98,2,Cowen Group,3.5,3.3,3.7,Satisfied,53,3.5,3.1,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Pete Hess,Pete Hess,71,29,Advent Software,3.1,3.8,3.3,OK,56,3,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
"Paulino R. Barros, Jr.","Paulino R. Barros, Jr.",75,25,Equifax,3.2,3,3.3,OK,62,2.8,3.6,0.0636,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Paulette Garafalo,Paulette Garafalo,50,50,Paul Stuart,2.7,3.3,3.2,OK,38,3.2,3.5,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Paul Suijk,Paul Suijk,71,29,The Teaching Company,3.4,3.2,3.3,OK,58,2.8,3.3,,44.3,10.3,30.3,Chantilly,Virginia,#N/A,#N/A,#N/A
Paul Straub,Paul Straub,48,52,Fox Rothschild,2.6,2.2,2.2,Dissatisfied,25,1.8,2.5,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Paul S. Pressler,Paul S. Pressler,72,28,David's Bridal,2.6,3.3,3.3,OK,56,3,3.3,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Paul McElroy,Paul McElroy,6,94,JEA,3.2,2.6,3.1,OK,50,2,3.4,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Paul Markovich,Paul Markovich,72,28,Blue Shield Of California,3.6,3.3,3.3,OK,64,2.9,3.5,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Paul Lussow,Paul Lussow,100,0,Kendall College,2.5,3.3,3.2,OK,52,2.8,3.1,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Paul J. Sarvadi,Paul J. Sarvadi,92,8,Insperity,4,4.2,4,Satisfied,77,3.9,4.2,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Paul Evans,Paul Evans,27,73,Hill International,3.6,3.3,3.6,Satisfied,63,2.7,3.6,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Paul Edmondson,Paul Edmondson,100,0,HubPages,3.2,4.5,4,Satisfied,92,4,4.9,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Paul Donahue,Paul Donahue,83,17,NAPA Auto Parts,3.1,3.3,3.6,Satisfied,65,2.9,3.2,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Paul Campanelli,Paul Campanelli,29,71,Endo Pharmaceuticals,4.1,2.9,3,OK,37,2.4,3.5,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Paul Brown,Paul Brown,78,22,Arby's,2.7,3.3,3.3,OK,54,2.9,2.8,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Paul A. Guggenheim,Paul A. Guggenheim,46,54,Patterson Dental,3.3,2.9,2.8,OK,36,2.2,3.7,,27.3,54,22.5,Saint Paul,Minnesota,#N/A,#N/A,#N/A
Patrick Vonderhaar,Patrick Vonderhaar,71,29,Cornerstone Brands,3.2,3.1,3.1,OK,65,2.7,3.2,,39.1,27.5,18,Cincinnati,Ohio,298880,112.4368717,63.8
Patrick J. McHale,Patrick J. McHale,96,4,Graco,4.4,4.6,4.4,Very Satisfied,96,4.5,4.3,,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Patrick J. Geraghty,Patrick J. Geraghty,84,16,Florida Blue,3.7,3.7,3.6,Satisfied,73,3.2,3.8,,54.5,0,26.9,Jacksonville,Florida,880557,77.97806742,67.51
Patrice Louvet,Patrice Louvet,87,13,Ralph Lauren,2.9,3.1,3.2,OK,54,2.7,2.9,,41.8,123.8,24.8,New York,New York,8566917,34.98583157,71.73
Pat Sullivan,Pat Sullivan,60,40,Universal Lighting Technologies,3.5,3.5,3.5,Satisfied,81,2.9,3.9,,54.2,6.3,21.7,Nashville,Tennessee,668685,85.0998294,68.23
Pat Lauwers,Pat Lauwers,100,0,Bowman and Brooke,3.4,3,3.5,Satisfied,64,2.9,2.8,,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Pat Gelsinger,Pat Gelsinger,94,6,VMware,4.3,4.3,4.2,Very Satisfied,88,3.7,4.1,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Pat Esser,Pat Esser,87,13,Cox Communications,4,3.9,3.8,Satisfied,75,3.3,3.6,,50.7,0.7,23.7,Atlanta,Georgia,472579,116.0771966,67.26
Pat Cavaney,Pat Cavaney,65,35,Morrison & Foerster,3.6,3.7,3.4,OK,56,2.9,3.3,,22.2,0,28.2,San Francisco,California,871155,116.0723828,68.36
Pascal Vinet,Pascal Vinet,49,51,Airgas,3,2.5,2.7,OK,39,2.3,2.9,,42.9,28.2,23.4,Philadelphia,Pennsylvania,1570826,72.7544559,66.83
Pamela M. (Pam) Nicholson,Pamela M. (Pam) Nicholson,88,12,Enterprise,3.4,3.8,3.5,Satisfied,65,3.5,2.5,,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Paal Kibsgaard,Paal Kibsgaard,61,39,Schlumberger,3.7,3.4,3.5,Satisfied,64,2.8,2.7,-0.2721,28.9,1.5,20.4,Houston,Texas,2334348,96.72034274,71.51
Owen D. Thomas,Owen D. Thomas,90,10,Boston Properties,3.4,2.8,3.4,OK,63,3,3.2,-0.1897,47.7,43.8,19.8,Boston,Massachusetts,673880,50.16048798,68.96
Oscar Munoz,Oscar Munoz,95,5,United Airlines,4,3.8,3.9,Satisfied,79,3.5,3.8,,39.2,24.6,24,Chicago,Illinois,2725153,74.90659418,70.57
Omar S. Ishrak,Omar S. Ishrak,86,14,Medtronic,3.7,3.6,3.6,Satisfied,71,3.1,3.3,-0.0458,27.3,54,0,Minneapolis,Minnesota,416751,95.78049056,68.13
Olza (Tony) Nicely,Olza (Tony) Nicely,87,13,GEICO,3.7,3.3,3.3,OK,58,3.1,2.8,,44.5,20.2,29.1,Chevy Chase,Maryland,#N/A,#N/A,#N/A
